Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CPRI,"Capri Holdings Ltd",36.31,-0.11,-0.30%,36.34,35.32,600841,"13:51 ET"
CPRT,"Copart Inc",99.58,-0.060000000000002,-0.06%,99.85,99.06,325209,"13:45 ET"
CRM,"Salesforce.com Inc",183.26,0.50999999999999,+0.28%,184.3,181.3,2112776,"13:51 ET"
CSCO,"Cisco Systems Inc",49.1,0.039999999999999,+0.08%,49.17,48.41,6511247,"13:51 ET"
CSX,"CSX Corp",76.1,1.49,+2.00%,76.1,73.94,2068284,"13:51 ET"
CTAS,"Cintas Corp",285.03,2.5,+0.88%,285.03,281.2,86870,"13:51 ET"
CTL,Centurylink,14.95,-0.12,-0.80%,15.15,14.77,4329779,"13:51 ET"
CTSH,"Cognizant Tech Sol",62.4,0.21,+0.34%,62.42,61.85,913850,"13:51 ET"
CTVA,"Corteva Inc",28.15,-0.010000000000002,-0.04%,28.26,27.51,1616672,"13:51 ET"
CTXS,"Citrix Systems Inc",129.52,10.29,+8.63%,130.56,122.2,2491515,"13:51 ET"
CVS,"CVS Corp",73.05,-0.96000000000001,-1.30%,73.88,72.48,4111898,"13:51 ET"
CVX,"Chevron Corp",113.05,0.14999999999999,+0.13%,113.07,111.86,2777950,"13:51 ET"
CXO,"Concho Resources Inc",84.55,-1.62,-1.88%,85.58,83.9,810624,"13:51 ET"
D,"Dominion Resources",83.76,0.070000000000007,+0.08%,83.96,83.4,927374,"13:51 ET"
DAL,"Delta Air Lines Inc",59.72,0.079999999999998,+0.13%,59.84,58.19,4682166,"13:51 ET"
DD,"Du Pont De.Nemours Inc",60.76,-0.020000000000003,-0.03%,60.97,60.01,2769902,"13:51 ET"
DE,"Deere & Company",170.42,-0.74000000000001,-0.43%,170.63,168.66,595284,"13:46 ET"
DFS,"Discover Financial Services",85.62,0.28,+0.33%,85.79,84.27,1102473,"13:51 ET"
DG,"Dollar General Corp",154.48,-0.02000000000001,-0.01%,155.51,153.38,572963,"13:51 ET"
